26645,classpath,edit jcombobox crash ,program creat edit jcombobox item import javax sw public class comboboxbug public static void main string arg jframe frame jframe jcombobox combobox jcombobox combobox setedit true frame getcontentpan add combobox frame pack frame setvis true nullpointerexcept except event dispatch java lang nullpointerexcept javax swing plaf basic basiccomboboxeditor setitem java lang object usr lib libgcj so javax swing plaf basic basiccomboboxui paintcurrentvalu java awt graph java awt rectangl boolean usr lib libgcj so javax swing plaf basic basiccomboboxui paint java awt graph javax swing jcompon usr lib libgcj so javax swing plaf componentui upd java awt graph javax swing jcompon usr lib libgcj so javax swing jcomponent paintcompon java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintimmedi java awt rectangl usr lib libgcj so javax swing repaintmanager paintdirtyregion usr lib libgcj so javax swing repaintmanag repaintworker run usr lib libgcj so java awt event invocationevent dispatch usr lib libgcj so java awt eventqueue dispatchev java awt awtev usr lib libgcj so java awt eventdispatchthread run usr lib libgcj so gc start routin usr lib libgcj so clone lib libc so except event dispatch java lang nullpointerexcept javax swing plaf basic basiccomboboxeditor setitem java lang object usr lib libgcj so javax swing plaf basic basiccomboboxui paintcurrentvalu java awt graph java awt rectangl boolean usr lib libgcj so javax swing plaf basic basiccomboboxui paint java awt graph javax swing jcompon usr lib libgcj so javax swing plaf componentui upd java awt graph javax swing jcompon usr lib libgcj so javax swing jcomponent paintcompon java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so gnu java awt peer gtk gtkcomponentpeer handleev java awt awtev usr lib lib gnu java awt peer gtk so java awt component dispatchev java awt awtev usr lib libgcj so java awt eventqueue dispatchev java awt awtev usr lib libgcj so java awt eventdispatchthread run usr lib libgcj so gc start routin usr lib libgcj so clone lib libc so except event dispatch java lang nullpointerexcept javax swing plaf basic basiccomboboxeditor setitem java lang object usr lib libgcj so javax swing plaf basic basiccomboboxui paintcurrentvalu java awt graph java awt rectangl boolean usr lib libgcj so javax swing plaf basic basiccomboboxui paint java awt graph javax swing jcompon usr lib libgcj so javax swing plaf componentui upd java awt graph javax swing jcompon usr lib libgcj so javax swing jcomponent paintcompon java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintchildren java awt graph usr lib libgcj so javax swing jcomponent paint java awt graph usr lib libgcj so java awt contain gfxpaintvisitor visit java awt compon java awt graph usr lib libgcj so java awt container visitchild java awt graph java awt contain gfxvisitor java awt compon usr lib libgcj so java awt container visitchildren java awt graph java awt contain gfxvisitor boolean usr lib libgcj so java awt container paint java awt graph usr lib libgcj so javax swing jcomponent paintimmedi java awt rectangl usr lib libgcj so javax swing repaintmanager paintdirtyregion usr lib libgcj so javax swing repaintmanag repaintworker run usr lib libgcj so java awt event invocationevent dispatch usr lib libgcj so java awt eventqueue dispatchev java awt awtev usr lib libgcj so java awt eventdispatchthread run usr lib libgcj so gc start routin usr lib libgcj so clone lib libc so ,swing,major,P3,unassigned,me mark me me mark ,FIXED
28061,classpath,jtree issu regress ,moment state jtree wors time ago run free swing demo select tree demo click switch expand collaps subtre double click intermedi node correctli expand subtre double click collaps subtre result collaps subtre click text label node correctli select node double click label node refer implement expands collaps subtre intermedi node user expect jtree ignor cursor key navig cursor up down move node cursor right cursor left intermedi node expand collaps subtre work ago nice switch ugli space scrollpathtovis treepath work attach version class polish version make free swing demo jtree left lot node repaint slow jtextarea ,swing,major,P3,audriusa,hendrich hendrich langel audriusa audriusa roman audriusa audriusa audriusa audriusa hendrich audriusa hendrich hendrich audriusa audriusa ,FIXED
26027,classpath,element ad jlist regress ,element ad list longer incorrect work observ list world swing demo button add element list regress introduc appli patch roman kennk kennk aicas com javax swing plaf basic basiclistui java updatelayoutst remov unneed special case vertic roman kennk kennk aicas com javax swing plaf basic basiclistui java getcellbound determin correct list width layoutorient vertic maybeupdatelayoutst valid state list patch author patch correct ask fill assign bug fix ,swing,major,P3,roman,audriusa audriusa audriusa audriusa audriusa roman ,FIXED
24730,classpath,phlegmat work move cursor arrow key jtextfield ,jtextfield cursor blink constant rate move cursor faster posit blink loos understand current posit cursor appear forc move cursor slowli posit bling phlegmat sun s jtextfield oper differ chang carret posit immedi appear locat blink loop reset stage visibl true chang carret posit moment visibl test case recent close swing activ board bug prevent work cursor movement work problem unusu inconveni set minor prioriti ,swing,minor,P3,unassigned,audriusa audriusa ,FIXED
26045,classpath,basictextui createkeymap ,method basictextui createkeymap implement wrong fetch focusinputmap uimanag transform keybind keymap input framework jtextcompon round backward compat method fetch keybind uimanag key prefix bind transform keymap return transform inputmap class method straightforward implement ,swing,minor,P3,roman,roman cvs-commit roman ,FIXED
25540,classpath,caret blink rate set ,javax swing plaf metal metallookandfeel properti formattedtextfield caretblinkr textfield caretblinkr set set integ altern addit javax swing plaf basic basictextui line caret setblinkr uimanager getint prefix caretblinkr chang check uimanager getint null null getint return int invok uimanager get check s null null int set blink rate ,swing,minor,P3,unassigned,ctl mark langel ,FIXED
27956,classpath,jslider getpreferreds small label enabl ,minor swing nitpick run free swing demo select slider demo pretti good thumb slider label enabl clip enlarg intern window fix appear off by on error getpreferredsize getminimums default metal ocean gnu plaf prefer pixel space tick label vertic slider ,swing,minor,P3,roman,hendrich david.gilbert hendrich david.gilbert hendrich david.gilbert roman cvs-commit roman cvs-commit ,FIXED
26488,classpath,menu select behavior differ sun impl mous depress ,sun implement select item menu bar mous press select item work classpath select item menu mous button unpress reproduc select menu item press left mous button drag menu item expect result item select ,swing,minor,P3,langel,david langel ,FIXED
28720,classpath,regress jtabl vertic scroll cell boundari adjust remov ,patch remov jtabl adjust posit jtabl scroll posit row scroll direct visib posit option java api add work conveni desir restor function ,swing,minor,P3,roman,audriusa roman audriusa cvs-commit roman audriusa ,FIXED
25774,classpath,jtabl column resiz ,jtabl column resiz mous drag column boundari header import user applic save chang column width preserv persist user defin boundari run test case show tabl column resiz sun s jre resiz implement test case upload separ ,swing,minor,P3,audriusa,audriusa audriusa audriusa audriusa ,FIXED
27222,classpath,jlist incompad ,moder subclass custom listmodel guard aganinst listmodel overrid setlistmodel fail classpath s set default list model constructor take listmodel argument moder classpath support null ui method check ui null quer minor method call differ dur construct incompadibilit overriden sane system import java awt rectangl import javax swing abstractlistmodel import javax swing jlist import javax swing listmodel import javax swing listselectionmodel public class jlisttest extend jlist public static class mylistmodel extend abstractlistmodel public int getsiz return public object getelementat int index throw indexoutofboundsexcept public jlisttest mylistmodel model super model setui null overrid public void setmodel listmodel model other code instanceof model insur kind system out println setmodel bad super setmodel model overrid public void setopaqu boolean isopaqu system out println setopaqu good super setopaqu isopaqu overrid public void setselectionmod int selectionmod system out println setselectionmodel bad super setselectionmod selectionmod overrid public void setselectionmodel listselectionmodel selectionmodel system out println setselectionmodel bad super setselectionmodel selectionmodel overrid public rectangl getcellbound int index int index system out println getcellbound call return super getcellbound index index catch nullpointerexcept system out println getcellbound threw npe return null public static void main string arg jlist list jlisttest mylistmodel null ui test list getcellbound ,swing,minor,P3,roman,subanark roman cvs-commit roman ,FIXED
25479,classpath,metalfilechooserui gratuit creat viewport ,metalfilechooserui java call scrollpane setviewport jviewport gratuit serv extra memori slow code ve test code fix make window resiz properli call work fine ,swing,minor,P3,langel,ctl langel cvs-commit ,FIXED
29672,classpath,bad javadoc document javax xml parsers documentbuilderfactori ,document javax xml parsers documentbuilderfactori author href mailto dog gnu org chri burdess a author href mailto dog gnu org chri burdess a ,xml,trivial,P3,dog,georgegiolfan dog ,FIXED
24925,classpath,jtextfield respect edit flag ,set jtextfield s edit state fals stop accept display input past testcas testcase import java awt ev import javax sw import java awt public class test public static void main string arg jframe jf jframe final jtextfield text jtextfield final jcheckbox cb jcheckbox toggl edit true cb addactionlisten actionlisten public void actionperform actionev ae text setedit cb isselect jf add text borderlayout cent jf add cb borderlayout south jf pack jf setvis true ,swing,trivial,P5,abalkiss,abalkiss abalkiss abalkiss cvs-commit audriusa abalkiss ,FIXED
22772,classpath,gjdoc support javadoc command line option ,ve attach list javadoc command gjdoc support implement option ,gjdoc,critical,P3,unassigned,from-classpath from-classpath ,FIXED
